"","last_first","player_id","year","ppa","hitcountrate","pa","bb_percent","b_total_pitches","xslg","squared_up_swing","exit_velocity_avg","oz_swing_percent","whiff_percent","flyballs_percent"
"25","Miguel Amaya",665804,2024,3.556473829,0.1480519481,363,6.3,1291,0.371,23.4,88.4,66.4,77.5,23
"26","Tim Anderson",641313,2024,3.921161826,0.124497992,241,2.9,945,0.283,20.6,86.1,62,69.4,12.7
"27","Miguel Andujar",609280,2024,3.686520376,0.1666666667,319,4.1,1176,0.337,26.6,86.1,64.2,84,18
"28","Jonathan Aranda",666018,2024,4.006993007,0.2162162162,143,8.4,573,0.518,28.1,91.9,74.4,78.1,30.9
"29","Orlando Arcia",606115,2024,3.873754153,0.2163461538,602,6.8,2332,0.323,25.8,88.2,72.4,73.4,21.3
"30","Nolan Arenado",571448,2024,3.861417323,0.1962905719,635,6.9,2452,0.356,27.6,86.3,70,82.8,23.5
"31","Gabriel Arias",672356,2024,3.590062112,0.125,161,3.7,578,0.368,15.6,89.7,59.9,61.6,15.8
"32","Randy Arozarena",668227,2024,4.280864198,0.2630792227,648,11.3,2774,0.381,24.1,90.4,75.7,70.3,27.6
"33","Luis Arraez",650333,2024,3.595238095,0.1524475524,672,3.6,2416,0.4,43.3,86.3,64.7,93.1,25.2
"34","José Azocar",640492,2024,3.683544304,0.09523809524,79,6.3,291,0.306,15.4,86.5,50.3,70.3,25.5
"35","Akil Baddoo",668731,2024,3.87804878,0.2235294118,82,9.8,318,0.397,25,91.1,69.6,65.4,31.9
"36","Harrison Bader",664056,2024,3.768878719,0.1696035242,437,4.8,1647,0.377,25.8,87.2,66.4,75.5,23.6
"37","Ji Hwan Bae",678225,2024,3.864197531,0.2117647059,81,7.4,313,0.337,23.8,87.3,72.8,68.2,15.7
"38","Javier Báez",595879,2024,3.557093426,0.1694915254,289,4.2,1028,0.345,21.3,88.3,56.8,69.8,25.7
"39","Patrick Bailey",672275,2024,3.988839286,0.2467248908,448,8.7,1787,0.398,28.1,91.3,74.9,76.6,24.9
"40","Darren Baker",671117,2024,2.785714286,0,14,0,39,0.257,38.9,86.7,50,71.4,18.2
"41","Luken Baker",663609,2024,4.102040816,0.2452830189,49,14.3,201,0.328,23.2,91,74.3,67,32.3
"42","Brooks Baldwin",681460,2024,3.520661157,0.136,121,5,426,0.343,21,87.4,65,75.1,33.3
"43","Addison Barger",680718,2024,3.817777778,0.2077922078,225,6.2,859,0.387,23.7,88.3,68.5,72.4,26.8
"44","Austin Barnes",605131,2024,3.801282051,0.23125,156,9,593,0.292,25.5,86.3,80.4,77.2,16
"45","Tucker Barnhart",571466,2024,3.90625,0.1862745098,96,13.5,375,0.218,21.8,83.4,77.3,70.2,15.4
"46","Jorge Barrosa",678489,2024,3.444444444,0.05555555556,18,0,62,0.427,26.1,83.2,60,85.3,6.3
"47","Joey Bart",663698,2024,3.996453901,0.2169491525,282,7.8,1127,0.431,21.4,88.1,73.6,73.8,23.8
"48","Brett Baty",683146,2024,3.953216374,0.224137931,171,9.4,676,0.344,14.4,86.6,68.2,73.8,23.2
"49","Jake Bauers",641343,2024,4.369942197,0.2684931507,346,11.3,1512,0.379,17.6,89.4,80.3,70.9,35.3
"50","Jordan Beck",687597,2024,3.581521739,0.1451612903,184,6.5,659,0.329,18.4,86.1,66.5,65.2,29.2
"51","Josh Bell",605137,2024,3.711442786,0.2487961477,603,8.5,2238,0.396,27.2,88.9,72.6,73.2,23.5
"52","Cody Bellinger",641355,2024,3.660808436,0.195911414,569,7.9,2083,0.391,30.6,87.8,67.6,77.8,35
"53","Andrew Benintendi",643217,2024,3.82183908,0.2118959108,522,7.9,1995,0.389,31.9,88,74.9,78.9,31.8
"54","Will Benson",666181,2024,4.268041237,0.254950495,388,10.3,1656,0.333,16.2,89.4,78,61,35.4
"55","Steward Berroa",672642,2024,4.066666667,0.2173913043,45,17.8,183,0.183,19.6,84.7,81.5,72.5,26.1
"56","Jon Berti",542932,2024,3.662162162,0.2247191011,74,8.1,271,0.335,26.1,84.2,82.5,82.3,24.5
"57","Christian Bethancourt",542194,2024,3.510204082,0.1337579618,147,3.4,516,0.36,23.8,89.1,51.6,68.5,30.5
"58","Mookie Betts",605141,2024,3.967054264,0.2794830372,516,11.8,2047,0.447,37.2,89.9,78.9,85.1,35.3
"59","Bo Bichette",666182,2024,3.529761905,0.1563421829,336,6,1186,0.375,25.9,89.2,62.9,78,17.7
"60","Cavan Biggio",624415,2024,4.263392857,0.2672413793,224,10.7,955,0.239,19.5,82,81.9,76.2,27.1
"61","Tyler Black",672012,2024,4.192982456,0.2413793103,57,12.3,239,0.231,17.4,83,80,75.7,28.1
"62","Charlie Blackmon",453568,2024,3.847695391,0.2093023256,499,8.6,1920,0.365,23.8,84.8,70.5,80.8,26.9
"63","Dairon Blanco",680118,2024,3.477272727,0.162962963,132,6.1,459,0.37,21.9,89,69,67.1,24.4
"64","Travis Blankenhorn",663905,2024,3.8125,0.1621621622,32,3.1,122,0.244,17.2,86.7,54.9,75,9.1
"65","JJ Bleday",668709,2024,3.867601246,0.2314674735,642,10.4,2483,0.397,26.5,88.5,75.3,73.9,31.3
"66","Ryan Bliss",669208,2024,3.647887324,0.2,71,7,259,0.426,22.3,88.5,79,67.2,25.6
"67","Xander Bogaerts",593428,2024,3.86825054,0.208,463,6,1791,0.382,30.8,88.1,74.2,81.7,23.9
"68","Alec Bohm",664761,2024,3.501650165,0.1896551724,606,6.6,2122,0.444,32.5,90.4,72.8,82.4,23.4
"69","David Bote",623520,2024,3.375,0.09615384615,48,4.2,162,0.345,19.8,88.3,65.3,66.7,24.2
"70","Sean Bouchard",656248,2024,3.990740741,0.2280701754,108,11.1,431,0.281,24.7,89.8,77.8,66.3,29.5
"71","Alex Bregman",608324,2024,3.77444795,0.2232277526,634,6.9,2393,0.417,33.7,89.1,76.4,87.2,28.3
"72","Will Brennan",686823,2024,3.484419263,0.163538874,353,5.4,1230,0.374,29,86,66.3,81.9,25.1
"73","Jonah Bride",681146,2024,4.253676471,0.2570422535,272,11,1157,0.334,30.5,87.1,76.1,83.3,22.8
